series_id,series_label,best_year,summed_value,quarters_available,status
PRS30006011,Manufacturing | All workers | Employment | % Change same quarter 1 year ago | Seasonal Adjusted,2022,16.400000,4,ok
PRS30006012,Manufacturing | All workers | Employment | % Change from previous quarter | Seasonal Adjusted,2022,13.000000,4,ok
PRS30006013,Manufacturing | All workers | Employment | Index (2017=100) | Seasonal Adjusted | Index base: 2017,1989,578.369000,4,ok
PRS30006021,Manufacturing | All workers | Average weekly hours | % Change same quarter 1 year ago | Seasonal Adjusted,2010,14.200000,4,ok
PRS30006022,Manufacturing | All workers | Average weekly hours | % Change from previous quarter | Seasonal Adjusted,2010,8.900000,4,ok
PRS30006023,Manufacturing | All workers | Average weekly hours | Index (2017=100) | Seasonal Adjusted | Index base: 2017,2014,402.512000,4,ok
PRS30006031,Manufacturing | All workers | Hours worked | % Change same quarter 1 year ago | Seasonal Adjusted,2022,16.500000,4,ok
PRS30006032,Manufacturing | All workers | Hours worked | % Change from previous quarter | Seasonal Adjusted,1994,14.600000,4,ok
PRS30006033,Manufacturing | All workers | Hours worked | Index (2017=100) | Seasonal Adjusted | Index base: 2017,1989,568.736000,4,ok
PRS30006061,Manufacturing | All workers | Labor compensation | % Change same quarter 1 year ago | Seasonal Adjusted,1988,28.700000,4,ok
PRS30006062,Manufacturing | All workers | Labor compensation | % Change from previous quarter | Seasonal Adjusted,1988,30.300000,4,ok
PRS30006063,Manufacturing | All workers | Labor compensation | Index (2017=100) | Seasonal Adjusted | Index base: 2017,2025,532.271000,4,ok
PRS30006081,Manufacturing | All workers | Nonlabor payments | % Change same quarter 1 year ago | Seasonal Adjusted,,,,no_quarterly_observations
PRS30006082,Manufacturing | All workers | Nonlabor payments | % Change from previous quarter | Seasonal Adjusted,,,,no_quarterly_observations
PRS30006083,Manufacturing | All workers | Nonlabor payments | Index (2017=100) | Seasonal Adjusted | Index base: 2017,,,,no_quarterly_observations
PRS30006091,Manufacturing | All workers | Labor productivity (output per hour) | % Change same quarter 1 year ago | Seasonal Adjusted,2002,34.700000,4,ok
PRS30006092,Manufacturing | All workers | Labor productivity (output per hour) | % Change from previous quarter | Seasonal Adjusted,2002,35.600000,4,ok
PRS30006093,Manufacturing | All workers | Labor productivity (output per hour) | Index (2017=100) | Seasonal Adjusted | Index base: 2017,2013,411.369000,4,ok
PRS30006101,Manufacturing | All workers | Hourly compensation | % Change same quarter 1 year ago | Seasonal Adjusted,2020,26.400000,4,ok
PRS30006102,Manufacturing | All workers | Hourly compensation | % Change from previous quarter | Seasonal Adjusted,2020,29.000000,4,ok
PRS30006103,Manufacturing | All workers | Hourly compensation | Index (2017=100) | Seasonal Adjusted | Index base: 2017,2025,536.798000,4,ok
PRS30006111,Manufacturing | All workers | Unit labor costs | % Change same quarter 1 year ago | Seasonal Adjusted,2020,27.200000,4,ok
PRS30006112,Manufacturing | All workers | Unit labor costs | % Change from previous quarter | Seasonal Adjusted,2008,38.600000,4,ok
PRS30006113,Manufacturing | All workers | Unit labor costs | Index (2017=100) | Seasonal Adjusted | Index base: 2017,2025,540.478000,4,ok
PRS30006131,Manufacturing | All workers | Unit nonlabor payments | % Change same quarter 1 year ago | Seasonal Adjusted,,,,no_quarterly_observations
PRS30006132,Manufacturing | All workers | Unit nonlabor payments | % Change from previous quarter | Seasonal Adjusted,,,,no_quarterly_observations
PRS30006133,Manufacturing | All workers | Unit nonlabor payments | Index (2017=100) | Seasonal Adjusted | Index base: 2017,,,,no_quarterly_observations
PRS30006151,Manufacturing | All workers | Real hourly compensation | % Change same quarter 1 year ago | Seasonal Adjusted,2020,20.900000,4,ok
PRS30006152,Manufacturing | All workers | Real hourly compensation | % Change from previous quarter | Seasonal Adjusted,2020,25.200000,4,ok
PRS30006153,Manufacturing | All workers | Real hourly compensation | Index (2017=100) | Seasonal Adjusted | Index base: 2017,2020,423.420000,4,ok
PRS30006161,Manufacturing | All workers | Output per worker | % Change same quarter 1 year ago | Seasonal Adjusted,2010,40.400000,4,ok
PRS30006162,Manufacturing | All workers | Output per worker | % Change from previous quarter | Seasonal Adjusted,2002,39.200000,4,ok
PRS30006163,Manufacturing | All workers | Output per worker | Index (2017=100) | Seasonal Adjusted | Index base: 2017,2014,412.744000,4,ok
PRS30006171,Manufacturing | All workers | Labor share | % Change same quarter 1 year ago | Seasonal Adjusted,,,,no_quarterly_observations
PRS30006172,Manufacturing | All workers | Labor share | % Change from previous quarter | Seasonal Adjusted,,,,no_quarterly_observations
PRS30006173,Manufacturing | All workers | Labor share | Index (2017=100) | Seasonal Adjusted | Index base: 2017,,,,no_quarterly_observations
PRS30006211,Manufacturing | All workers | Real sectoral output | % Change same quarter 1 year ago | Seasonal Adjusted,2010,28.000000,4,ok
PRS30006212,Manufacturing | All workers | Real sectoral output | % Change from previous quarter | Seasonal Adjusted,1997,31.500000,4,ok
PRS30006213,Manufacturing | All workers | Real sectoral output | Index (2017=100) | Seasonal Adjusted | Index base: 2017,2007,419.060000,4,ok
PRS30006221,Manufacturing | All workers | Sectoral output price deflator | % Change same quarter 1 year ago | Seasonal Adjusted,,,,no_quarterly_observations
PRS30006222,Manufacturing | All workers | Sectoral output price deflator | % Change from previous quarter | Seasonal Adjusted,,,,no_quarterly_observations
PRS30006223,Manufacturing | All workers | Sectoral output price deflator | Index (2017=100) | Seasonal Adjusted | Index base: 2017,,,,no_quarterly_observations
PRS30006231,Manufacturing | All workers | Sectoral output | % Change same quarter 1 year ago | Seasonal Adjusted,,,,no_quarterly_observations
PRS30006232,Manufacturing | All workers | Sectoral output | % Change from previous quarter | Seasonal Adjusted,,,,no_quarterly_observations
PRS30006233,Manufacturing | All workers | Sectoral output | Index (2017=100) | Seasonal Adjusted | Index base: 2017,,,,no_quarterly_observations
PRS31006011,"Manufacturing, Durable Goods | All workers | Employment | % Change same quarter 1 year ago | Seasonal Adjusted",2022,16.200000,4,ok
PRS31006012,"Manufacturing, Durable Goods | All workers | Employment | % Change from previous quarter | Seasonal Adjusted",2022,16.000000,4,ok
PRS31006013,"Manufacturing, Durable Goods | All workers | Employment | Index (2017=100) | Seasonal Adjusted | Index base: 2017",1989,571.577000,4,ok
PRS31006021,"Manufacturing, Durable Goods | All workers | Average weekly hours | % Change same quarter 1 year ago | Seasonal Adjusted",2010,15.500000,4,ok
PRS31006022,"Manufacturing, Durable Goods | All workers | Average weekly hours | % Change from previous quarter | Seasonal Adjusted",2010,10.400000,4,ok
PRS31006023,"Manufacturing, Durable Goods | All workers | Average weekly hours | Index (2017=100) | Seasonal Adjusted | Index base: 2017",2014,402.783000,4,ok
PRS31006031,"Manufacturing, Durable Goods | All workers | Hours worked | % Change same quarter 1 year ago | Seasonal Adjusted",2022,19.200000,4,ok
PRS31006032,"Manufacturing, Durable Goods | All workers | Hours worked | % Change from previous quarter | Seasonal Adjusted",1994,19.900000,4,ok
PRS31006033,"Manufacturing, Durable Goods | All workers | Hours worked | Index (2017=100) | Seasonal Adjusted | Index base: 2017",1989,564.807000,4,ok
PRS31006061,"Manufacturing, Durable Goods | All workers | Labor compensation | % Change same quarter 1 year ago | Seasonal Adjusted",1988,30.100000,4,ok
PRS31006062,"Manufacturing, Durable Goods | All workers | Labor compensation | % Change from previous quarter | Seasonal Adjusted",1988,32.600000,4,ok
PRS31006063,"Manufacturing, Durable Goods | All workers | Labor compensation | Index (2017=100) | Seasonal Adjusted | Index base: 2017",2025,532.476000,4,ok
PRS31006081,"Manufacturing, Durable Goods | All workers | Nonlabor payments | % Change same quarter 1 year ago | Seasonal Adjusted",,,,no_quarterly_observations
PRS31006082,"Manufacturing, Durable Goods | All workers | Nonlabor payments | % Change from previous quarter | Seasonal Adjusted",,,,no_quarterly_observations
PRS31006083,"Manufacturing, Durable Goods | All workers | Nonlabor payments | Index (2017=100) | Seasonal Adjusted | Index base: 2017",,,,no_quarterly_observations
PRS31006091,"Manufacturing, Durable Goods | All workers | Labor productivity (output per hour) | % Change same quarter 1 year ago | Seasonal Adjusted",2010,34.300000,4,ok
PRS31006092,"Manufacturing, Durable Goods | All workers | Labor productivity (output per hour) | % Change from previous quarter | Seasonal Adjusted",2002,41.300000,4,ok
PRS31006093,"Manufacturing, Durable Goods | All workers | Labor productivity (output per hour) | Index (2017=100) | Seasonal Adjusted | Index base: 2017",2014,405.868000,4,ok
PRS31006101,"Manufacturing, Durable Goods | All workers | Hourly compensation | % Change same quarter 1 year ago | Seasonal Adjusted",2000,27.700000,4,ok
PRS31006102,"Manufacturing, Durable Goods | All workers | Hourly compensation | % Change from previous quarter | Seasonal Adjusted",2020,33.000000,4,ok
PRS31006103,"Manufacturing, Durable Goods | All workers | Hourly compensation | Index (2017=100) | Seasonal Adjusted | Index base: 2017",2025,539.866000,4,ok
PRS31006111,"Manufacturing, Durable Goods | All workers | Unit labor costs | % Change same quarter 1 year ago | Seasonal Adjusted",2009,30.100000,4,ok
PRS31006112,"Manufacturing, Durable Goods | All workers | Unit labor costs | % Change from previous quarter | Seasonal Adjusted",2008,54.200000,4,ok
