series_id,year,period,value,population
PRS30006032,1988,Q01,2.100000,
PRS30006032,1989,Q01,1.800000,
PRS30006032,1990,Q01,-4.600000,
PRS30006032,1991,Q01,-7.900000,
PRS30006032,1992,Q01,-3.100000,
PRS30006032,1993,Q01,1.300000,
PRS30006032,1994,Q01,1.700000,
PRS30006032,1995,Q01,0.000000,
PRS30006032,1996,Q01,-4.200000,
PRS30006032,1997,Q01,2.800000,
PRS30006032,1998,Q01,0.900000,
PRS30006032,1999,Q01,-4.100000,
PRS30006032,2000,Q01,0.500000,
PRS30006032,2001,Q01,-6.300000,
PRS30006032,2002,Q01,-6.600000,
PRS30006032,2003,Q01,-5.700000,
PRS30006032,2004,Q01,2.000000,
PRS30006032,2005,Q01,-0.500000,
PRS30006032,2006,Q01,1.800000,
PRS30006032,2007,Q01,-0.800000,
PRS30006032,2008,Q01,-3.500000,
PRS30006032,2009,Q01,-21.000000,
PRS30006032,2010,Q01,3.200000,
PRS30006032,2011,Q01,1.500000,
PRS30006032,2012,Q01,2.500000,
PRS30006032,2013,Q01,0.500000,316128839
PRS30006032,2014,Q01,-0.100000,318857056
PRS30006032,2015,Q01,-1.700000,321418821
PRS30006032,2016,Q01,-1.400000,323127515
PRS30006032,2017,Q01,0.900000,325719178
PRS30006032,2018,Q01,0.500000,327167439
PRS30006032,2019,Q01,-1.600000,328239523
PRS30006032,2020,Q01,-7.000000,
PRS30006032,2021,Q01,0.500000,331893745
PRS30006032,2022,Q01,5.300000,333287562
PRS30006032,2023,Q01,0.500000,334914896
PRS30006032,2024,Q01,-0.700000,340110990
PRS30006032,2025,Q01,-0.600000,
PRS30006032,2026,Q01,0.000000,
